latitude,longitude,location
35.7775,-5.8000,Tangier
35.5767,-5.3667,Tétouan
35.4750,-6.0033,Asilah
34.9239,-6.1814,Larache
34.2575,-6.5800,Kénitra
34.0209,-6.8416,Rabat
34.0388,-6.7888,Salé
33.6833,-7.3833,Mohammedia
33.5731,-7.5898,Casablanca
33.2453,-8.4900,El Jadida
32.2939,-9.2333,Safi
31.5126,-9.7701,Essaouira
30.4209,-9.5981,Agadir
29.6800,-9.7700,Tiznit
28.8833,-11.0833,Sidi Ifni
28.4344,-11.1308,Tan-Tan
27.1533,-13.1922,Laayoune
23.6964,-15.9500,Dakhla
21.0167,-15.9500,Nouadhibou
18.0731,-15.9582,Nouakchott
16.5333,-15.8833,Rosso
16.0228,-16.4783,Saint-Louis
14.7167,-17.4677,Dakar
14.7833,-16.9333,Thiès
14.4000,-16.9833,M'Bour
14.1500,-16.0833,Kaolack
14.3333,-16.3833,Fatick
12.5667,-16.2667,Ziguinchor
13.4433,-16.5974,Banjul
11.8744,-15.5877,Bissau
12.2500,-14.5833,Bafatá
9.5092,-13.7122,Conakry
8.4833,-13.2333,Freetown
7.5167,-12.5000,Bonthe
6.3000,-10.8000,Monrovia
5.9167,-10.2333,Buchanan
5.3167,-3.9167,Grand-Bassam
5.3167,-4.0333,Abidjan
6.8167,-5.2833,Yamoussoukro
5.1500,-4.2000,Dabou
4.6667,-5.1167,Sassandra
4.7500,-6.7500,San-Pédro
4.9167,-4.9000,Grand-Lahou
5.5167,-3.0833,Aboisso
5.9833,1.1833,Aflao
6.1333,1.2167,Lomé
6.3667,2.4000,Cotonou
6.4833,2.6167,Porto-Novo
6.4167,2.8833,Badagry
6.5244,3.3792,Lagos
