,Type,Name,NPV
0,Financing cash outflow,Capital gains taxes payable,0.0
1,Operating Expenses,Licensing and Permitting,0.0
2,Operating Expenses,Rent of land,0.0
3,Operating Expenses,Administrative expenses,0.0
4,Operating Expenses,Labor,0.0
5,Operating Expenses,Total annual maintenance,0.0
6,Operating Expenses,Sales tax,0.0
7,Operating Expenses,Credit card fees,0.0
8,Operating Expenses,Road tax,0.0
9,Operating Expenses,Property insurance,0.0
10,Operating Expenses,Cooling water,5.580990977316857e-06
11,Operating Expenses,Non-depreciable assets,0.0002047747060235146
12,Operating Expenses,Cooling Tower,0.0003931019076592205
13,Operating Expenses,Boiler and Steam Turbine,0.0005790291497403307
14,Operating Expenses,Maintenance Cost,0.0006300513946628743
15,Operating Expenses,Installation cost,0.0009498049269538322
16,Operating Expenses,Haber Bosch,0.001527029555782071
17,Operating Expenses,Air Separation by Cryogenic,0.0018434720044943286
18,Operating Expenses,Iron based catalyst,0.0021180315277480317
19,Operating Expenses,Depreciable Nonequipment,0.002153377270462274
20,Operating Expenses,Administrative Expense,0.00297054155006062
21,Operating Expenses,Cash on hand reserve,0.0037578223853497713
22,Operating Expenses,Property tax and insurance,0.003897605932882935
23,Financing cash outflow,Repayment of debt,0.0044360561088821375
24,Financing cash outflow,Income taxes payable,0.005616854588832447
25,Financing cash outflow,Interest expense,0.007158463742903106
26,Operating Expenses,Labor Cost,0.014852707750303102
27,Financing cash outflow,Dividends paid,0.01811850167548709
28,Operating Expenses,Electricity,0.03930381121642403
29,Operating Expenses,Hydrogen,1.2758330646138338
30,Operating Revenue,Take or pay revenue,0.0
31,Operating Revenue,Incidental revenue,0.0
32,Financing cash inflow,One time capital incentive,0.0
33,Financing cash inflow,Annual operating incentives,0.0
34,Operating Revenue,Sale of non-depreciable assets,0.0002047747060235146
35,Financing cash inflow,Monetized tax losses,0.0008495155677520137
36,Operating Revenue,Cash on hand recovery,0.003757822385349771
37,Financing cash inflow,Inflow of debt,0.0044360561088821375
38,Financing cash inflow,Inflow of equity,0.006178834434334566
39,Operating Revenue,Oxygen byproduct,0.008386648300601962
40,Operating Revenue,Ammonia sales,1.3625360314965191
