DN,Outer diameter [mm],S 5S,S 10,S 10S,S 20,S 30,S Std,S 40,S 40S,S60,S XS,S 80,S 80S,S 100,S 120,S 140,S 160,S XXS
6,10.29,0.889,,1.245,1.245,1.448,1.727,1.727,1.727,,2.413,2.413,2.413,,,,,
8,13.72,1.245,,1.651,1.651,1.854,2.235,2.235,2.235,,3.023,3.023,3.023,,,,,
10,17.15,1.245,,1.651,1.651,1.854,2.311,2.311,2.311,,3.2,3.2,3.2,,,,,
15,21.34,1.651,,2.108,2.108,2.413,2.769,2.769,2.769,,3.734,3.734,3.734,,,,4.775,7.468
20,26.67,1.651,,2.108,2.108,2.413,2.87,2.87,2.87,,3.912,3.912,3.912,,,,5.563,7.823
25,33.4,1.651,,2.769,2.769,2.896,3.378,3.378,3.378,,4.547,4.547,4.547,,,,6.35,9.093
32,42.16,1.651,,2.769,2.769,2.972,3.556,3.556,3.556,,4.851,4.851,4.851,,,,6.35,9.703
40,48.26,1.651,,2.769,2.769,3.175,3.683,3.683,3.683,,5.08,5.08,5.08,,,,7.137,10.16
50,60.33,1.651,,2.769,2.769,3.175,3.912,3.912,3.912,,5.537,5.537,5.537,,,,8.738,11.074
65,73.03,2.108,,3.048,3.048,4.775,5.156,5.156,5.156,,7.01,7.01,7.01,,,,9.525,14.021
80,88.9,2.108,,3.048,3.048,4.775,5.486,5.486,5.486,,7.62,7.62,7.62,,,,8.839,15.24
90,101.6,2.108,,3.048,3.048,4.775,5.74,5.74,5.74,,8.077,8.077,8.077,,,,,16.154
100,114.3,2.11,3.05,3.05,0,4.78,6.02,6.02,6.02,0,8.56,8.56,8.56,0,0,0,13.03,17.12
125,141.3,2.77,3.4,3.4,0,0,6.55,6.55,6.55,0,9.53,9.53,9.53,0,0,0,15.88,19.05
150,168.28,2.77,3.4,3.4,0,0,7.11,7.11,7.11,0,10.97,10.97,10.97,0,0,0,18.26,21.95
,193.68,,,,,,7.65,7.65,7.65,,12.7,12.7,12.7,,,,,22.23
200,219.08,2.77,3.76,3.76,6.35,7.04,8.18,8.18,8.18,10.31,12.7,12.7,12.7,15.06,18.26,20.62,23.01,22.23
,,,,,,,,,,,,,,,,,,
250,273.05,3.404,4.191,4.191,6.35,7.798,9.271,9.271,9.271,12.7,12.7,15.088,12.7,18.237,21.412,25.4,28.575,25.4
300,323.85,3.962,4.572,4.572,6.35,8.382,9.525,10.312,9.525,14.275,12.7,17.45,12.7,21.412,25.4,28.575,33.325,25.4
350,355.6,3.962,6.35,4.775,7.925,9.525,9.525,11.1,9.525,15.062,12.7,19.05,12.7,23.8,27.762,31.75,35.712,
400,406.4,4.191,6.35,4.775,7.925,9.525,9.525,12.7,9.525,16.662,12.7,21.412,12.7,26.187,30.937,36.5,40.488,
450,457.2,4.191,6.35,4.775,7.925,11.1,9.525,14.275,9.525,19.05,12.7,23.8,12.7,29.362,34.925,39.675,45.237,
500,508,4.775,6.35,5.537,9.525,12.7,9.525,15.062,9.525,20.625,12.7,26.187,12.7,32.512,38.1,44.45,49.987,
550,558.8,4.775,6.35,5.537,9.525,12.7,9.525,,9.525,22.225,12.7,28.575,12.7,34.925,41.275,47.625,53.975,
600,609.6,5.537,6.35,6.35,9.525,14.275,9.525,17.45,9.525,24.587,12.7,30.937,12.7,38.887,46.025,52.375,59.512,
650,660.4,,7.925,,12.7,,9.525,,9.525,,12.7,,,,,,,
700,711.2,,7.925,,12.7,15.875,9.525,,9.525,,12.7,,,,,,,
750,762,6.35,7.925,7.925,12.7,15.875,9.525,,9.525,,12.7,,,,,,,
800,812.8,,7.925,,12.7,15.875,9.525,17.475,9.525,,12.7,,,,,,,
850,863.6,,7.925,,12.7,15.875,9.525,17.475,9.525,,12.7,,,,,,,
900,914.4,,7.925,,12.7,15.875,9.525,19.05,9.525,,12.7,,,,,,,
1000,1016,,,,,,9.525,,,,12.7,,,,,,,25.4
1050,1066.8,,,,,,9.525,,,,12.7,,,,,,,25.4
1100,1117.6,,,,,,9.525,,,,12.7,,,,,,,25.4
1150,1168.4,,,,,,9.525,,,,12.7,,,,,,,25.4
1200,1219.2,,,,,,9.525,,,,12.7,,,,,,,25.4
1300,1320.8,,,,,,9.525,,,,12.7,,,,,,,25.4
1400,1422.4,,,,,,9.525,,,,12.7,,,,,,,25.4
1500,1524,,,,,,9.525,,,,12.7,,,,,,,25.4
1600,1625.6,,,,,,9.525,,,,12.7,,,,,,,25.4
1700,1727.2,,,,,,9.525,,,,12.7,,,,,,,25.4
1800,1828.8,,,,,,9.525,,,,12.7,,,,,,,25.4
