,Type,Name,NPV
0,Operating Expenses,Total annual maintenance,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
3,Operating Expenses,Wind Plant Fixed O&M Cost,0.0
4,Operating Expenses,Battery Storage,0.0
5,Operating Expenses,Solar Plant,0.0
6,Operating Expenses,Wind Plant,0.0
7,Operating Expenses,Hydrogen Storage,0.0
8,Operating Expenses,Licensing and Permitting,0.0
9,Operating Expenses,Rent of land,0.0
10,Operating Expenses,Administrative expenses,0.0
11,Operating Expenses,Labor,0.0
12,Operating Expenses,Installation cost,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Credit card fees,0.0
15,Operating Expenses,Sales tax,0.0
16,Operating Expenses,Road tax,0.0
17,Operating Expenses,Non-depreciable assets,0.00011370738844397688
18,Operating Expenses,Desalination,0.0003583490655106063
19,Operating Expenses,Desalination Fixed O&M Cost,0.0015821436974556256
20,Operating Expenses,Property insurance,0.002948426096771005
21,Operating Expenses,Compression,0.008514409246684989
22,Operating Expenses,Water,0.014063324538258577
23,Operating Expenses,Cash on hand reserve,0.015446724561384293
24,Financing cash outflow,Income taxes payable,0.03052310906767201
25,Financing cash outflow,Repayment of debt,0.040907917905454776
26,Financing cash outflow,Interest expense,0.06175212109698169
27,Operating Expenses,Var O&M,0.07110411790168084
28,Operating Expenses,Electrolysis system,0.07748237117831078
29,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383418335197526
30,Financing cash outflow,Dividends paid,0.12131755169397089
31,Operating Expenses,Grid Electricity Cost,5.239800747895165
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011370738844397688
37,Financing cash inflow,Monetized tax losses,0.008484134360390999
38,Operating Revenue,Cash on hand recovery,0.015446724561384292
39,Financing cash inflow,Inflow of debt,0.040907917905454776
40,Financing cash inflow,Inflow of equity,0.061730694152063045
41,Operating Revenue,Hydrogen sales,5.643066026317983
