,Type,Name,NPV
0,Operating Expenses,Road tax,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Battery Storage,0.0
3,Operating Expenses,Hydrogen Storage,0.0
4,Operating Expenses,Licensing and Permitting,0.0
5,Operating Expenses,Rent of land,0.0
6,Operating Expenses,Administrative expenses,0.0
7,Operating Expenses,Labor,0.0
8,Operating Expenses,Total annual maintenance,0.0
9,Operating Expenses,Installation cost,0.0
10,Operating Expenses,Sales tax,0.0
11,Operating Expenses,Credit card fees,0.0
12,Financing cash outflow,Income taxes payable,0.0
13,Financing cash outflow,Capital gains taxes payable,0.0
14,Operating Expenses,Non-depreciable assets,0.00011246123258774611
15,Operating Expenses,Desalination,0.0003544218027999612
16,Operating Expenses,Desalination Fixed O&M Cost,0.00156480447560766
17,Operating Expenses,Compression,0.008421097096170428
18,Operating Expenses,Cash on hand reserve,0.012237805760366172
19,Operating Expenses,Property insurance,0.016025907645881257
20,Operating Expenses,Water,0.01614775725593667
21,Operating Expenses,Var O&M,0.07119478191591576
22,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08291541756229345
23,Operating Expenses,Solar Plant Fixed O&M Cost,0.08940667990725815
24,Operating Expenses,Electrolysis system,0.10212782842626097
25,Operating Expenses,Solar Plant,0.1434173114698491
26,Operating Expenses,Wind Plant,0.22183618212284317
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.2615677616818197
28,Financing cash outflow,Repayment of debt,0.32218155744277577
29,Financing cash outflow,Interest expense,0.45363981130230624
30,Financing cash outflow,Dividends paid,0.7168174462084098
31,Operating Expenses,Grid Electricity Cost,1.9721340726615497
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011246123258774611
37,Operating Revenue,Cash on hand recovery,0.012237805760366172
38,Financing cash inflow,Inflow of debt,0.32218155744277577
39,Operating Revenue,Hydrogen sales,1.020615625362088
40,Financing cash inflow,Inflow of equity,1.419609951146748
41,Financing cash inflow,Monetized tax losses,1.7173457050260659
