operating_ratio,efficiency
0.937732223,4.285714286
0.933250382,4.258241758
0.929665402,4.230769231
0.925182329,4.217032967
0.920700488,4.18956044
0.916217415,4.175824176
0.911735574,4.148351648
0.904564382,4.107142857
0.896495097,4.07967033
0.887531415,4.024725275
0.878566501,3.983516484
0.870498448,3.942307692
0.862430395,3.901098901
0.856154832,3.873626374
0.847189918,3.832417582
0.837328143,3.791208791
0.827466368,3.75
0.818501454,3.708791209
0.805950328,3.653846154
0.796985414,3.612637363
0.786226778,3.571428571
0.775468142,3.53021978
0.757537082,3.461538462
0.743192234,3.406593407
0.730641108,3.351648352
0.717193121,3.296703297
0.703743902,3.255494505
0.687605332,3.200549451
0.674156113,3.159340659
0.661603755,3.118131868
0.646362046,3.063186813
0.632017198,3.008241758
0.614979303,2.980769231
0.588977726,2.898351648
0.570147341,2.857142857
0.550420096,2.815934066
0.530694082,2.760989011
0.513656187,2.733516484
0.490341497,2.692307692
0.475096092,2.678571429
0.449089588,2.651098901
0.415906963,2.637362637
0.388104272,2.637362637
0.372856404,2.651098901
0.348638693,2.678571429
0.329802149,2.706043956
0.309169418,2.760989011
0.286741734,2.82967033
0.266102843,2.953296703
0.245462721,3.090659341
0.228410043,3.228021978
0.207766225,3.406593407
0.194302222,3.53021978
0.181735081,3.653846154
0.173653477,3.763736264
0.167365594,3.873626374
0.16107648,3.997252747
0.153889272,4.134615385
0.146698369,4.313186813
0.138608141,4.519230769
0.131417237,4.697802198
0.125120731,4.903846154
0.120620411,5.082417582
0.114320209,5.32967033
0.110717982,5.494505495
0.107116986,5.645604396
0.103513527,5.824175824
0.099907604,6.03021978
0.097199773,6.222527473
0.093595082,6.414835165
0.089987927,6.634615385
0.086377076,6.895604396
0.084566107,7.087912088
0.081858276,7.28021978
0.079147982,7.5
0.078235106,7.678571429
0.076422904,7.884615385
0.074610703,8.090659341
0.070994924,8.406593407
0.069177795,8.667582418
0.067361898,8.914835165
0.064645444,9.203296703
0.06372764,9.436813187
0.061910511,9.697802198
0.061894496,9.876373626
0.060088454,10.01373626
