,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Year,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0,2051.0,2052.0,2053.0,2054.0,2055.0,2056.0,2057.0,2058.0,2059.0,2060.0
Cumulative cash flow,-1541576279.1669364,-1327347377.4083772,-1101926379.627103,-899504571.015343,-712505725.5147002,-532411534.0386723,-350613134.15232396,-167755766.32641613,-207684839.73672026,-51047884.87623167,102453775.93952376,253435308.50234944,402994840.8126742,552241780.283565,701073439.9325141,655519483.4568021,808276862.8113811,957443360.616246,1103942333.961901,1248866901.4935493,1393321286.4430182,1537197446.21696,1486519501.0264156,1633978677.3637342,1777666831.4615223,1918501196.8520427,2057568559.6533294,2195966595.5233164,2333580490.488863,2276427363.318763,2557241505.9596915
Investor cash flow,-1541576279.1669364,214228901.7585593,225420997.78127417,202421808.61176014,186998845.50064278,180094191.47602788,181798399.88634834,182857367.82590783,-39929073.41030413,156636954.8604886,153501660.81575543,150981532.56282568,149559532.3103248,149246939.47089082,148831659.64894903,-45553956.47571188,152757379.35457894,149166497.80486482,146498973.34565496,144924567.53164852,144454384.94946876,143876159.77394167,-50677945.19054428,147459176.33731872,143688154.09778818,140834365.39052033,139067362.80128676,138398035.86998698,137613894.9655468,-57153127.17010021,280814142.64092886
Monetized tax losses,-0.0,51273314.85369659,35984996.88281565,10953688.069632439,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Gross margin,0.0,0.36238663721760456,0.37095504265660206,0.37673044855338367,0.3804952214989989,0.3832388587407462,0.38593729050612985,0.38859815032563055,0.3833438986817828,0.38323909416792296,0.38272694326345075,0.3819084567573566,0.38091169860402235,0.3798629246080968,0.3787615575007238,0.37273173632090756,0.37226611479643507,0.3713808856445675,0.37017663180581256,0.3687809950156545,0.367319775082333,0.36579194437016765,0.3593211521442418,0.3583995736175921,0.35704287795604656,0.3553511301782655,0.35345142594995904,0.35146900212083687,0.34940224557834754,0.3423742032219472,0.3408764310102895
Cost of goods sold ($/year),0.0,712314850.4442235,652919675.7321763,555672943.7462276,486263930.62061954,451271558.5660819,449732887.505088,448521610.5350063,383630260.5372368,359691674.0834437,347611469.9979803,339197735.8698978,335312501.4696243,335830477.8021467,336415777.1917789,374481613.12968796,365322105.3708108,353433334.3834747,345217544.34932727,341536981.6868382,342266591.38087916,343070716.84700847,381362822.8881212,372437274.79360133,360790421.67534775,352824773.4699389,349402856.79397815,350399905.4963926,351480563.4113581,390058604.426309,381428711.58109015
Cost of goods sold ($/kg),0.0,9.847688795653603,9.02655584277055,7.682128512082822,6.722555143019746,6.238788743933847,6.217516754787339,6.200770959526623,5.303653877228886,4.972705070731607,4.805697334830216,4.68937821660454,4.635665200164969,4.642826176414466,4.65091788787856,5.177174648957119,5.050545277304197,4.886184086781399,4.772601527866251,4.721718079808849,4.731804868263037,4.742921830570032,5.2723067554917575,5.1489118551739335,4.9878951574514,4.87777078683972,4.83046309630301,4.844247205014718,4.859187203576455,5.392525153816122,5.273217660751007
Average utilization,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Hydrogen sales (kg/day),0.0,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023,198173.15270208023
Capacity covered by TOPC (kg/day),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cost of Hydrogen ($/kg),7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171,7.093807792517171
Hydrogen sales (kg/year),0.0,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928,72333200.73625928
Sales revenue of Hydrogen ($/year),0.0,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486,513117823.04058486
Value of Water ($/gal),0.005470841,0.00565685,0.005849183,0.006048055,0.006253689,0.006466314,0.006686169,0.006913498,0.007148557,0.007391608,0.007642923,0.007902782,0.008171477,0.008449307,0.008736584,0.009033627,0.009340771,0.009658357,0.009986741,0.01032629,0.010677384,0.011040415,0.011415789,0.011803926,0.01220526,0.012620239,0.013049327,0.013493004,0.013951766,0.014426126,0.014916614
Water expenses ($/year),0.0,16340606.315604454,16896187.21919906,17470656.943373628,18064659.6549716,18678856.85267976,19313938.92159041,19970610.68999863,20649611.649886142,21351698.62507799,22077657.32580474,22828296.57142141,23604459.844969645,24407010.84997497,25236850.842290115,26094901.298251666,26982129.912445076,27899521.71129913,28848105.050850905,29828940.06218357,30843124.428707488,31891790.497519672,32976111.05668488,34097299.33523562,35256609.00317216,36455334.1714625,37694815.16932351,38976438.54422093,40301637.06186933,41671892.5948727,43088736.12272445
